#rho                  Ec
1.000000000000000E-10 5.001100000000000E-16
1.584893000000000E-10 6.305725000000000E-16
2.511886000000000E-10 6.824746000000000E-16
3.981072000000000E-10 4.621957000000000E-16
6.309573000000000E-10 -4.776933000000000E-16
1.000000000000000E-09 -3.120487000000000E-15
1.584893000000000E-09 -9.559232000000000E-15
2.511886000000000E-09 -2.415348000000000E-14
3.981072000000000E-09 -5.584421000000000E-14
6.309573000000000E-09 -1.227610000000000E-13
1.000000000000000E-08 -2.613514000000000E-13
1.584893000000000E-08 -5.444087000000000E-13
2.511886000000000E-08 -1.116575000000000E-12
3.981072000000000E-08 -2.264106000000000E-12
6.309573000000000E-08 -4.551709000000000E-12
1.000000000000000E-07 -9.090578999999999E-12
1.584893000000000E-07 -1.806277000000000E-11
2.511886000000000E-07 -3.574611000000000E-11
3.981072000000000E-07 -7.051585000000000E-11
6.309573000000000E-07 -1.387513000000000E-10
1.000000000000000E-06 -2.724570000000000E-10
1.258925000000000E-06 -3.815485000000000E-10
1.584893000000000E-06 -5.341218000000000E-10
1.995262000000000E-06 -7.474561999999999E-10
2.511886000000000E-06 -1.045683000000000E-09
3.162278000000000E-06 -1.462502000000000E-09
3.981072000000000E-06 -2.044965000000000E-09
5.011872000000000E-06 -2.858769000000000E-09
6.309573000000000E-06 -3.995625000000000E-09
7.943282000000000E-06 -5.583562000000000E-09
1.000000000000000E-05 -7.801290000000000E-09
1.258925000000000E-05 -1.089825000000000E-08
1.584893000000000E-05 -1.522257000000000E-08
1.995262000000000E-05 -2.126012000000000E-08
2.511886000000000E-05 -2.968897000000000E-08
3.162278000000000E-05 -4.145533000000000E-08
3.981072000000000E-05 -5.787959000000000E-08
5.011872000000000E-05 -8.078616000000000E-08
6.309573000000000E-05 -1.127944000000000E-07
7.943282000000000E-05 -1.574643000000000E-07
1.000000000000000E-04 -2.197981000000000E-07
1.258925000000000E-04 -3.067715000000000E-07
1.584893000000000E-04 -4.281120000000000E-07
1.995262000000000E-04 -5.973822000000000E-07
2.511886000000000E-04 -8.334900000000000E-07
3.162278000000000E-04 -1.162792000000000E-06
3.981072000000000E-04 -1.622045000000000E-06
5.011872000000000E-04 -2.262452000000000E-06
