#rho                  Ec
6.309573000000000E-04 -3.155413000000000E-06
7.943282000000000E-04 -4.400449000000000E-06
1.000000000000000E-03 -6.136297000000000E-06
1.122018000000000E-03 -7.246041000000000E-06
1.258925000000000E-03 -8.556363000000000E-06
1.412538000000000E-03 -1.010351000000000E-05
1.584893000000000E-03 -1.193026000000000E-05
1.778279000000000E-03 -1.408716000000000E-05
1.995262000000000E-03 -1.663385000000000E-05
2.238721000000000E-03 -1.964077000000000E-05
2.511886000000000E-03 -2.319105000000000E-05
2.818383000000000E-03 -2.738288000000000E-05
3.162278000000000E-03 -3.233216000000000E-05
3.548134000000000E-03 -3.817570000000000E-05
3.981072000000000E-03 -4.507506000000000E-05
4.466836000000000E-03 -5.322093000000000E-05
5.011872000000000E-03 -6.283847000000000E-05
5.623413000000000E-03 -7.419347000000001E-05
7.079458000000000E-03 -1.034276000000000E-04
7.943281999999999E-03 -1.221143000000000E-04
1.412538000000000E-02 -2.801346000000000E-04
1.584893000000000E-02 -3.307315000000000E-04
2.000000000000000E-02 -4.625583000000000E-04
2.238721000000000E-02 -5.442240000000001E-04
2.511886000000000E-02 -6.424950000000000E-04
3.162278000000000E-02 -8.954469000000000E-04
4.466836000000000E-02 -1.473184000000000E-03
5.011872000000000E-02 -1.739075000000000E-03
5.623413000000000E-02 -2.052927000000000E-03
6.309573000000000E-02 -2.423384000000000E-03
7.079458000000000E-02 -2.860646000000000E-03
7.943282000000000E-02 -3.376747000000000E-03
8.912509000000000E-02 -3.985884000000000E-03
1.000000000000000E-01 -4.704808000000000E-03
1.122018000000000E-01 -5.553270000000000E-03
1.258925000000000E-01 -6.554564000000000E-03
1.412538000000000E-01 -7.736147000000000E-03
1.584893000000000E-01 -9.130370000000000E-03
1.778279000000000E-01 -1.077532000000000E-02
1.995262000000000E-01 -1.271581000000000E-02
2.238721000000000E-01 -1.500445000000000E-02
2.511886000000000E-01 -1.770291000000000E-02
2.818383000000000E-01 -2.088320000000000E-02
3.162278000000000E-01 -2.462900000000000E-02
3.548134000000000E-01 -2.903676000000000E-02
3.981072000000000E-01 -3.421627000000000E-02
4.466836000000000E-01 -4.029000000000000E-02
4.915635247101384E-01 -6.528832276787633E-02
5.111174258580824E-01 -1.024322532591522E-01
5.424036676947930E-01 -1.325011493711373E-01
5.697791293019148E-01 -1.519574939141866E-01
5.932438106794475E-01 -1.696450798624132E-01
6.479947338936909E-01 -1.944077001899304E-01
6.988348768783457E-01 -2.138640447329796E-01
7.653181407813554E-01 -2.315516306812062E-01
8.357121849139542E-01 -2.333203892760288E-01
9.334816906536745E-01 -2.262453548967382E-01
1.015608075475040E+00 -2.085577689485116E-01
1.105556020755582E+00 -1.784888728365264E-01
1.211147086954480E+00 -1.413449423452506E-01
1.324559713612556E+00 -1.201198392073787E-01
1.414507658893099E+00 -1.024322532591522E-01
1.496634043714464E+00 -8.828218450057090E-02
1.563117307617474E+00 -8.474466731092556E-02
1.649154472668428E+00 -8.120715012128027E-02
1.719548516801026E+00 -7.059459855234435E-02
1.801674901622391E+00 -4.760073681964977E-02
1.868158165525401E+00 -2.460687508695519E-02
1.938552209658000E+00 1.607457259396589E-02
2.020678594479365E+00 7.090608903346829E-02
2.130180440907852E+00 1.628815359642465E-01
2.238721000000000E+00 2.625804000000000E-01
2.511886000000000E+00 5.340000000000000E-01
2.818383000000000E+00 8.856647000000000E-01
3.162278000000000E+00 1.290568000000000E+00
3.548134000000000E+00 1.887992000000000E+00
3.981072000000000E+00 2.772998000000000E+00
4.466836000000000E+00 4.033544000000000E+00
5.011872000000000E+00 5.759600000000000E+00
5.623413000000000E+00 8.063625999999999E+00
6.309573000000000E+00 1.108551000000000E+01
7.079458000000000E+00 1.499990000000000E+01
7.943282000000000E+00 2.002445000000000E+01
8.912509000000000E+00 2.644746000000000E+01
1.000000000000000E+01 3.463232000000000E+01
1.258925000000000E+01 5.817127000000000E+01
1.584893000000000E+01 9.568575000000000E+01
1.995262000000000E+01 1.549271000000000E+02
2.511886000000000E+01 2.477404000000000E+02
3.162278000000000E+01 3.921476000000000E+02
3.981072000000000E+01 6.154743999999999E+02
5.011872000000000E+01 9.590288000000000E+02
6.309573000000000E+01 1.485096000000000E+03
7.943282000000001E+01 2.287349000000000E+03
1.000000000000000E+02 3.506379000000000E+03
1.584893000000000E+02 8.141464000000000E+03
2.511886000000000E+02 1.865695000000000E+04
3.981072000000000E+02 4.230809000000000E+04
6.309573000000000E+02 9.513114999999999E+04
1.000000000000000E+03 2.124294000000000E+05
1.584893000000000E+03 4.716624000000000E+05
2.511886000000000E+03 1.042311000000000E+06
3.981072000000000E+03 2.294333000000000E+06
6.309573000000000E+03 5.033698000000000E+06
1.000000000000000E+04 1.101335000000000E+07
