#rho                  Ec
 3.689420992072033E+00 -1.245390527406546E+13
 3.701416346659452E+00 -1.245364720982903E+13
 3.713489956279528E+00 -1.245337526521309E+13
 3.725642589216031E+00 -1.245308922200708E+13
 3.737875023842781E+00 -1.245278885829301E+13
 3.750188048789840E+00 -1.245247394837276E+13
 3.762582463112994E+00 -1.245214426269387E+13
 3.775059076466612E+00 -1.245179956777345E+13
 3.787618709279953E+00 -1.245143962612057E+13
 3.800262192937006E+00 -1.245106419615673E+13
 3.812990369959937E+00 -1.245067303213456E+13
 3.825804094196252E+00 -1.245026588405471E+13
 3.838704231009725E+00 -1.244984249758071E+13
 3.851691657475213E+00 -1.244940261395201E+13
 3.864767262577446E+00 -1.244894596989485E+13
 3.877931947413861E+00 -1.244847229753120E+13
 3.891186625401619E+00 -1.244798132428547E+13
 3.904532222488856E+00 -1.244747277278914E+13
 3.917969677370323E+00 -1.244694636078305E+13
 3.931499941707469E+00 -1.244640180101745E+13
 3.945123980353124E+00 -1.244583880114972E+13
 3.958842771580845E+00 -1.244525706363957E+13
 3.972657307319090E+00 -1.244465628564185E+13
 3.986568593390288E+00 -1.244403615889675E+13
 4.000577649754965E+00 -1.244339636961738E+13
 4.014685510761033E+00 -1.244273659837470E+13
 4.028893225398365E+00 -1.244205651997958E+13
 4.043201857558805E+00 -1.244135580336211E+13
 4.057612486301729E+00 -1.244063411144794E+13
 4.072126206125314E+00 -1.243989110103162E+13
 4.086744127243640E+00 -1.243912642264685E+13
 4.101467375869793E+00 -1.243833972043353E+13
 4.116297094505097E+00 -1.243753063200161E+13
 4.131234442234659E+00 -1.243669878829152E+13
 4.146280595029355E+00 -1.243584381343113E+13
 4.161436746054453E+00 -1.243496532458929E+13
 4.176704105985025E+00 -1.243406293182554E+13
 4.192083903328323E+00 -1.243313623793619E+13
 4.207577384753311E+00 -1.243218483829654E+13
 4.223185815427526E+00 -1.243120832069905E+13
 4.238910479361474E+00 -1.243020626518749E+13
 4.254752679760730E+00 -1.242917824388684E+13
 4.270713739385986E+00 -1.242812382082895E+13
 4.286795000921216E+00 -1.242704255177362E+13
 4.302997827350199E+00 -1.242593398402521E+13
 4.319323602341610E+00 -1.242479765624450E+13
 4.335773730642916E+00 -1.242363309825566E+13
 4.352349638483296E+00 -1.242243983084828E+13
 4.369052773985850E+00 -1.242121736557419E+13
 4.385884607589334E+00 -1.241996520453909E+13
 4.402846632479674E+00 -1.241868284018859E+13
 4.419940365031542E+00 -1.241736975508872E+13
 4.437167345260249E+00 -1.241602542170063E+13
 4.454529137284258E+00 -1.241464930214933E+13
 4.472027329798583E+00 -1.241324084798626E+13
 4.489663536559409E+00 -1.241179949994559E+13
 4.507439396880201E+00 -1.241032468769391E+13
 4.525356576139671E+00 -1.240881582957329E+13
 4.543416766301885E+00 -1.240727233233735E+13
 4.561621686448890E+00 -1.240569359088018E+13
 4.579973083326190E+00 -1.240407898795797E+13
 4.598472731901445E+00 -1.240242789390294E+13
 4.617122435936762E+00 -1.240073966632951E+13
 4.635924028574975E+00 -1.239901364983239E+13
 4.654879372940299E+00 -1.239724917567632E+13
 4.673990362753788E+00 -1.239544556147719E+13
 4.693258922964011E+00 -1.239360211087436E+13
 4.712687010393401E+00 -1.239171811319377E+13
 4.732276614400709E+00 -1.238979284310164E+13
 4.752029757560067E+00 -1.238782556024842E+13
 4.771948496357115E+00 -1.238581550890265E+13
 4.792034921902716E+00 -1.238376191757449E+13
 4.812291160664773E+00 -1.238166399862846E+13
 4.832719375218681E+00 -1.237952094788519E+13
 4.853321765016979E+00 -1.237733194421165E+13
 4.874100567178769E+00 -1.237509614909961E+13
 4.895058057299507E+00 -1.237281270623190E+13
 4.916196550281766E+00 -1.237048074103607E+13
 4.937518401187629E+00 -1.236809936022495E+13
 4.959026006113347E+00 -1.236566765132386E+13
 4.980721803086974E+00 -1.236318468218381E+13
 5.002608272989645E+00 -1.236064950048037E+13
 5.024687940501278E+00 -1.235806113319762E+13
 5.046963375071406E+00 -1.235541858609676E+13
 5.069437191915966E+00 -1.235272084316879E+13
 5.092112053040831E+00 -1.234996686607074E+13
 5.114990668292928E+00 -1.234715559354489E+13
 5.138075796439836E+00 -1.234428594082038E+13
 5.161370246278734E+00 -1.234135679899658E+13
 5.184876877775664E+00 -1.233836703440761E+13
 5.208598603236062E+00 -1.233531548796735E+13
 5.232538388507574E+00 -1.233220097449422E+13
 5.256699254216186E+00 -1.232902228201507E+13
 5.281084277036771E+00 -1.232577817104735E+13
