#rho	 Pc
 1.000000000000000E-07 -0.000000000000000E+00
 1.011585280309120E-07 -0.000000000000000E+00
 1.023304779338084E-07 -0.000000000000000E+00
 1.035160052048379E-07 -0.000000000000000E+00
 1.047152671416163E-07 -0.000000000000000E+00
 1.059284228640966E-07 -0.000000000000000E+00
 1.071556333356802E-07 -0.000000000000000E+00
 1.083970613845754E-07 -0.000000000000000E+00
 1.096528717254009E-07 -0.000000000000000E+00
 1.109232309810397E-07 -0.000000000000000E+00
 1.122083077047483E-07 -0.000000000000000E+00
 1.135082724025202E-07 -0.000000000000000E+00
 1.148232975557074E-07 -0.000000000000000E+00
 1.161535576439078E-07 -0.000000000000000E+00
 1.174992291681140E-07 -0.000000000000000E+00
 1.188604906741325E-07 -0.000000000000000E+00
 1.202375227762719E-07 -0.000000000000000E+00
 1.216305081813093E-07 -0.000000000000000E+00
 1.230396317127308E-07 -0.000000000000000E+00
 1.244650803352537E-07 -0.000000000000000E+00
 1.259070431796349E-07 -0.000000000000000E+00
 1.273657115677638E-07 -0.000000000000000E+00
 1.288412790380469E-07 -0.000000000000000E+00
 1.303339413710883E-07 -0.000000000000000E+00
 1.318438966156651E-07 -0.000000000000000E+00
 1.333713451150043E-07 -0.000000000000000E+00
 1.349164895333660E-07 -0.000000000000000E+00
 1.364795348829330E-07 -0.000000000000000E+00
 1.380606885510101E-07 -0.000000000000000E+00
 1.396601603275437E-07 -0.000000000000000E+00
 1.412781624329554E-07 -0.000000000000000E+00
 1.429149095462986E-07 -0.000000000000000E+00
 1.445706188337451E-07 -0.000000000000000E+00
 1.462455099773974E-07 -0.000000000000000E+00
 1.479398052044358E-07 -0.000000000000000E+00
 1.496537293166059E-07 -0.000000000000000E+00
 1.513875097200444E-07 -0.000000000000000E+00
 1.531413764554508E-07 -0.000000000000000E+00
 1.549155622286117E-07 -0.000000000000000E+00
 1.567103024412751E-07 -0.000000000000000E+00
 1.585258352223848E-07 -0.000000000000000E+00
 1.603624014596735E-07 -0.000000000000000E+00
 1.622202448316275E-07 -0.000000000000000E+00
 1.640996118398165E-07 -0.000000000000000E+00
 1.660007518415987E-07 -0.000000000000000E+00
 1.679239170832083E-07 -0.000000000000000E+00
 1.698693627332232E-07 -0.000000000000000E+00
 1.718373469164192E-07 -0.000000000000000E+00
 1.738281307480215E-07 -0.000000000000000E+00
 1.758419783683482E-07 -0.000000000000000E+00
 1.778791569778558E-07 -0.000000000000000E+00
 1.799399368725943E-07 -0.000000000000000E+00
 1.820245914800692E-07 -0.000000000000000E+00
 1.841333973955189E-07 -0.000000000000000E+00
 1.862666344186167E-07 -0.000000000000000E+00
 1.884245855905933E-07 -0.000000000000000E+00
 1.906075372317902E-07 -0.000000000000000E+00
 1.928157789796516E-07 -0.000000000000000E+00
 1.950496038271527E-07 -0.000000000000000E+00
 1.973093081616732E-07 -0.000000000000000E+00
 1.995951918043248E-07 -0.000000000000000E+00
 2.019075580497306E-07 -0.000000000000000E+00
 2.042467137062672E-07 -0.000000000000000E+00
 2.066129691367710E-07 -0.000000000000000E+00
 2.090066382997201E-07 -0.000000000000000E+00
 2.114280387908898E-07 -0.000000000000000E+00
 2.138774918854899E-07 -0.000000000000000E+00
 2.163553225807949E-07 -0.000000000000000E+00
 2.188618596392641E-07 -0.000000000000000E+00
 2.213974356321604E-07 -0.000000000000000E+00
 2.239623869836794E-07 -0.000000000000000E+00
 2.265570540155856E-07 -0.000000000000000E+00
 2.291817809923647E-07 -0.000000000000000E+00
 2.318369161669047E-07 -0.000000000000000E+00
 2.345228118267009E-07 -0.000000000000000E+00
 2.372398243405964E-07 -0.000000000000000E+00
 2.399883142060687E-07 -0.000000000000000E+00
 2.427686460970598E-07 -0.000000000000000E+00
 2.455811889123599E-07 -0.000000000000000E+00
 2.484263158245567E-07 -0.000000000000000E+00
 2.513044043295469E-07 -0.000000000000000E+00
 2.542158362966212E-07 -0.000000000000000E+00
 2.571609980191350E-07 -0.000000000000000E+00
 2.601402802657606E-07 -0.000000000000000E+00
 2.631540783323325E-07 -0.000000000000000E+00
 2.662027920943008E-07 -0.000000000000000E+00
 2.692868260597838E-07 -0.000000000000000E+00
 2.724065894232405E-07 -0.000000000000000E+00
 2.755624961197602E-07 -0.000000000000000E+00
 2.787549648799885E-07 -0.000000000000000E+00
 2.819844192856829E-07 -0.000000000000000E+00
 2.852512878259121E-07 -0.000000000000000E+00
 2.885560039539128E-07 -0.000000000000000E+00
 2.918990061445993E-07 -0.000000000000000E+00
 2.952807379527382E-07 -0.000000000000000E+00
 2.987016480718046E-07 -0.000000000000000E+00
 3.021621903935134E-07 -0.000000000000000E+00
 3.056628240680401E-07 -0.000000000000000E+00
 3.092040135649457E-07 -0.000000000000000E+00
 3.127862287348014E-07 -0.000000000000000E+00
 3.164099448715268E-07 -0.000000000000000E+00
 3.200756427754567E-07 -0.000000000000000E+00
 3.237838088171331E-07 -0.000000000000000E+00
 3.275349350018343E-07 -0.000000000000000E+00
 3.313295190348601E-07 -0.000000000000000E+00
 3.351680643875658E-07 -0.000000000000000E+00
 3.390510803641611E-07 -0.000000000000000E+00
 3.429790821692900E-07 -0.000000000000000E+00
 3.469525909763869E-07 -0.000000000000000E+00
 3.509721339968240E-07 -0.000000000000000E+00
 3.550382445498673E-07 -0.000000000000000E+00
 3.591514621334356E-07 -0.000000000000000E+00
 3.633123324956828E-07 -0.000000000000000E+00
 3.675214077074056E-07 -0.000000000000000E+00
 3.717792462352985E-07 -0.000000000000000E+00
 3.760864130160489E-07 -0.000000000000000E+00
 3.804434795312914E-07 -0.000000000000000E+00
 3.848510238834385E-07 -0.000000000000000E+00
 3.893096308723811E-07 -0.000000000000000E+00
 3.938198920730779E-07 -0.000000000000000E+00
 3.983824059140520E-07 -0.000000000000000E+00
 4.029977777567892E-07 -0.000000000000000E+00
 4.076666199760542E-07 -0.000000000000000E+00
 4.123895520411484E-07 -0.000000000000000E+00
 4.171672005980988E-07 -0.000000000000000E+00
 4.220001995527989E-07 -0.000000000000000E+00
 4.268891901551228E-07 -0.000000000000000E+00
 4.318348210840043E-07 -0.000000000000000E+00
 4.368377485335014E-07 -0.000000000000000E+00
 4.418986362998671E-07 -0.000000000000000E+00
 4.470181558696202E-07 -0.000000000000000E+00
 4.521969865086358E-07 -0.000000000000000E+00
 4.574358153522779E-07 -0.000000000000000E+00
 4.627353374965662E-07 -0.000000000000000E+00
 4.680962560903995E-07 -0.000000000000000E+00
 4.735192824288566E-07 -0.000000000000000E+00
 4.790051360475684E-07 -0.000000000000000E+00
 4.845545448181891E-07 -0.000000000000000E+00
 4.901682450449660E-07 -0.000000000000000E+00
 4.958469815624416E-07 -0.000000000000000E+00
 5.015915078342750E-07 -0.000000000000000E+00
 5.074025860532095E-07 -0.000000000000000E+00
 5.132809872422084E-07 -0.000000000000000E+00
 5.192274913567528E-07 -0.000000000000000E+00
 5.252428873883223E-07 -0.000000000000000E+00
 5.313279734690876E-07 -0.000000000000000E+00
 5.374835569778053E-07 -0.000000000000000E+00
 5.437104546469363E-07 -0.000000000000000E+00
 5.500094926710203E-07 -0.000000000000000E+00
 5.563815068162927E-07 -0.000000000000000E+00
 5.628273425315701E-07 -0.000000000000000E+00
 5.693478550604357E-07 -0.000000000000000E+00
 5.759439095547089E-07 -0.000000000000000E+00
 5.826163811892308E-07 -8.952350926888385E-318
 5.893661552779934E-07 -1.187969877167940E-316
 5.961941273915991E-07 -2.499423705683259E-316
 6.031012034760822E-07 -9.960884353095192E-315
 6.100882999731205E-07 -1.534766390018149E-313
 6.171563439416254E-07 -2.572753871960928E-312
 6.243062731807410E-07 -4.270642133158401E-311
 6.315390363542822E-07 -7.011604944565263E-310
 6.388555931165983E-07 -1.138713537980933E-308
 6.462569142399052E-07 -1.829380634503366E-307
 6.537439817430816E-07 -2.907384163292494E-306
 6.613177890219758E-07 -4.571149940446765E-305
 6.689793409812048E-07 -7.110317802473170E-304
 6.767296541674828E-07 -1.094230245254486E-302
 6.845697569045071E-07 -1.666096262707977E-301
 6.925006894293940E-07 -2.510027665946074E-300
 7.005235040306926E-07 -3.741615783555547E-299
 7.086392651880155E-07 -5.518959370744128E-298
 7.168490497132694E-07 -8.055406073711866E-297
 7.251539468935244E-07 -1.163495355832294E-295
 7.335550586355509E-07 -1.663042762828869E-294
 7.420534996120189E-07 -2.352437652181604E-293
 7.506503974093879E-07 -3.293236986222277E-292
 7.593468926775283E-07 -4.562806267630213E-291
 7.681441392810590E-07 -6.256898169610363E-290
 7.770433044524380E-07 -8.492152460168789E-289
 7.860455689468448E-07 -1.140831565779298E-287
 7.951521271988380E-07 -1.516992796167183E-286
 8.043641874808300E-07 -1.996717892094985E-285
 8.136829720634132E-07 -2.601559836173182E-284
 8.231097173775261E-07 -3.355423247576890E-283
 8.326456741785077E-07 -4.284196418174908E-282
 8.422921077120422E-07 -5.415167886959649E-281
 8.520502978820462E-07 -6.776205688563043E-280
 8.619215394204814E-07 -8.394689546987539E-279
 8.719071420591362E-07 -1.029620245133805E-277
 8.820084307034152E-07 -1.250300771435107E-276
 8.922267456081242E-07 -1.503235974186361E-275
 9.025634425552885E-07 -1.789471979353326E-274
 9.130198930340562E-07 -2.109197001434450E-273
 9.235974844226613E-07 -2.461573767981754E-272
 9.342976201724963E-07 -2.844595453055703E-271
 9.451217199943386E-07 -3.254978102252452E-270
 9.560712200467135E-07 -3.688102045689334E-269
 9.671475731264376E-07 -4.138013213840872E-268
 9.783522488613927E-07 -4.597492573922633E-267
 9.896867339055128E-07 -5.058198180211258E-266
 1.001152532136026E-06 -5.510879782591858E-265
 1.012751164853008E-06 -5.945660873127760E-264
 1.024484170981220E-06 -6.352377864850722E-263
 1.036353107274295E-06 -6.720961235688832E-262
 1.048359548521295E-06 -7.041839388948857E-261
 1.060505087755660E-06 -7.306343095425627E-260
 1.072791336466558E-06 -7.507087021751013E-259
 1.085219924812719E-06 -7.638305219012903E-258
 1.097792501838717E-06 -7.696119596707263E-257
 1.110510735693772E-06 -7.678724222683536E-256
 1.123376313853072E-06 -7.586473495202641E-255
 1.136390943341686E-06 -7.421868416542446E-254
 1.149556350961048E-06 -7.189441850857614E-253
 1.162874283518061E-06 -6.895550218570735E-252
 1.176346508056886E-06 -6.548085022240314E-251
 1.189974812093383E-06 -6.156122436695527E-250
 1.203761003852277E-06 -5.729532561003224E-249
 1.217706912507094E-06 -5.278571598952205E-248
 1.231814388422846E-06 -4.813480146774195E-247
 1.246085303401532E-06 -4.344109018424960E-246
 1.260521550930514E-06 -3.879590871104864E-245
 1.275125046433735E-06 -3.428071655447151E-244
 1.289897727525850E-06 -2.996511023910808E-243
 1.304841554269334E-06 -2.590555728832283E-242
 1.319958509434536E-06 -2.214485147712264E-241
 1.335250598762744E-06 -1.871223748904034E-240
 1.350719851232331E-06 -1.562411830024016E-239
 1.366368319327954E-06 -1.288523395186390E-238
 1.382198079312870E-06 -1.049018649534184E-237
 1.398211231504438E-06 -8.425182448090174E-237
 1.414409900552781E-06 -6.669869896446409E-236
 1.430796235722680E-06 -5.199160632427915E-235
 1.447372411178762E-06 -3.984946267779005E-234
 1.464140626273955E-06 -2.997638886396105E-233
 1.481103105841314E-06 -2.207489341898461E-232
 1.498262100489194E-06 -1.585657940853281E-231
 1.515619886899893E-06 -1.105031537126190E-230
 1.533178768131710E-06 -7.407970203975115E-230
 1.550941073924507E-06 -4.707932914130783E-229
 1.568909161008851E-06 -2.756719734471958E-228
 1.587085413418689E-06 -1.389015483906752E-227
 1.605472242807661E-06 -4.665080849436854E-227
 1.624072088769100E-06 1.241388299778271E-226
 1.642887419159713E-06 4.738632974352197E-225
 1.661920730427006E-06 6.540656319861432E-224
 1.681174547940541E-06 7.195366585549894E-223
 1.700651426326995E-06 7.112899528590484E-222
 1.720353949809099E-06 6.591833986124451E-221
 1.740284732548540E-06 5.842585627753847E-220
 1.760446418992802E-06 5.007623372295438E-219
 1.780841684226020E-06 4.178434532132665E-218
 1.801473234323945E-06 3.409370507350739E-217
 1.822343806712970E-06 2.728642115138345E-216
